Ticker,Description,Last,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
002313,SUNSEA AIOT TECHNO,11.4,-0.17513135,-0.02,Strong Buy,3030943,34552750.20000001,4275647959,,-1.1943,2610,Electronic Technology
600831,SHAANXI BROADCAST & TV NETWORK INTERMEDIARY （GROUP）CO.LTD,6.19,3.33889816,0.2,Strong Buy,23843326,147590187.94,4255808556,60.38306452,0.0998,6701,Consumer Services
605016,"SHANDONG BAILONG CHUANGYUAN BIO-TECH CO.,LTD. ",35.110001,4.6809778,1.57,Strong Buy,3146224,110463927.786224,4252872218.000001,,,531,Consumer Non-Durables
300843,SHENGLAN TECHNOLOG,30.32,6.3486496,1.81,Strong Buy,5633600,170810752,4245138860,41.05702765,0.6944,2190,Electronic Technology
300434,SICHUAN GOLDSTONE,10.86,2.84090909,0.3,Strong Buy,13657128,148316410.07999998,4242415393,,-1.2734,1761,Producer Manufacturing
002308,VTRON GROUP CO LTD,4.61,-1.91489362,-0.09,Strong Buy,20369349,93902698.89,4213623267,,-0.2303,1040,Electronic Technology
600283,"QIANJIANG WATER RESOURCES DEVELOPMENT CO.,LTD",12.65,6.03520536,0.72,Strong Buy,14520859,183688866.35,4211239501,21.50324441,0.5548,1560,Utilities
688669,"POLYROCKS CHEMICAL CO., LTD",46.950001,4.05585559,1.830002,Strong Buy,5792896,271976472.992896,4211200015.000001,46.09255184,0.9789,1153,Process Industries
688569,"BEIJING TIEKE SHOUGANG RAILWAY-TECH CO.,LTD.",20.139999,1.51209173,0.299999,Strong Buy,962212,19378948.717788,4179627405,27.06315646,0.7331,512,Producer Manufacturing
002526,SHANDONG MINING MA,2.42,3.41880342,0.08,Strong Buy,81600719,197473739.98,4171737393.000001,95.51020408,0.0245,2140,Producer Manufacturing
300237,SHANDONG MEICHEN E,2.94,1.73010381,0.05,Strong Buy,95680906,281301863.64,4167133918.000001,,-0.0784,2441,Producer Manufacturing
002107,SHANDONG WOHUA PHA,7.4,3.06406685,0.22,Strong Buy,17703291,131004353.4,4144364791,23.68073879,0.3032,1304,Health Technology
300878,ZHEJIANG WECOME PH,52.779999,2.66484925,1.369999,Strong Buy,4797742,253224817.962258,4135372662,29.69959561,1.731,1049,Health Technology
603357,ANHUI TRANSPORT CONSULTING & DESIGN INSTITUTE,9.22,1.76600442,0.16,Strong Buy,2899989,26737898.58,4118156999,10.60269163,0.8545,1850,Commercial Services
300239,BAOTOU DONGBAO BIO,7.05,2.0260492,0.14,Strong Buy,30898348,217833353.4,4101796827.999999,173.61809045,0.0398,715,Process Industries
600187,"HEILONGJIANG INTERCHINA WATER TREATMENT CO.,LTD.",2.58,1.57480315,0.04,Strong Buy,28742869,74156602.02,4099004003,2309.09090909,0.0011,716,Industrial Services
003020,HEFEI LIFEON PHARM,45.860001,3.77914016,1.670002,Strong Buy,1380700,63318903.38069999,4093761446,25.45946823,1.7357,975,Health Technology
600467,"SHANDONG HOMEY AQUATIC DEVELOPMENT CO.,LTD.",2.85,1.78571429,0.05,Strong Buy,31685100,90302535,4090783866,62.22222222,0.045,4468,Process Industries
300198,FUJIAN NEWCHOICE P,4.02,1.7721519,0.07,Strong Buy,22418520,90122450.4,4074616956,,-0.0194,934,Industrial Services
603366,"SOLAREAST  HOLDINGS CO.,LTD.",5.07,-0.19685039,-0.01,Strong Buy,7897040,40037992.80000001,4063999939,25.46365915,0.1995,4002,Producer Manufacturing
000722,HUNAN DEVELOPMENT,8.88,1.60183066,0.14,Strong Buy,15057939,133714498.32,4056743389,36.73812526,0.2379,295,Utilities
688398,"FUJIAN SUPER TECH ADVANCED MATERIAL CO.,LTD.",50.799999,0.51444004,0.259998,Strong Buy,470740,23913591.52926,4043200073,34.87200787,1.4493,977,Non-Energy Minerals
688217,SHANGHAI RIGHTONGENE BIOTECHNOLOGY,72.720001,0.26196333,0.190002,Strong Buy,599749,43613747.879749,4031003868,,,540,Health Technology
002462,CACHET PHARMACEUTI,14.07,1.95652174,0.27,Strong Buy,6974329,98128809.03,4025558350,11.90168176,1.1595,3031,Distribution Services
300094,Z/J GUOLIAN AQUATI,4.53,2.48868778,0.11,Strong Buy,99563160,451021114.8,4012196798,,-0.1738,4463,Process Industries
002118,JILIN ZIXIN PHARMA,3.43,9.93589744,0.31,Strong Buy,175395444,601606372.9200001,3995970322,,-0.6012,1096,Health Technology
300570,T AND S COMMUNICAT,17.950001,0.2793352,0.050001,Strong Buy,3759470,67482490.25947,3994147454,48.11827957,0.372,1562,Producer Manufacturing
603676,"TIBET WEIXINKANG MEDICINE CO., LTD",9.29,2.20022002,0.2,Strong Buy,5090104,47287066.16,3963503601,39.97361478,0.2274,500,Health Technology
300112,SHENZHEN MAXONIC,14.12,1.87590188,0.26,Strong Buy,26866134,379349812.08,3960465294,35.42944785,0.3912,1275,Electronic Technology
605060,ALLIED MACHINERY,17,3.21797834,0.530001,Strong Buy,1966824,33436008,3952799835,21.98638233,0.7491,,Producer Manufacturing
603012,"SHANGHAI CHUANGLI GROUP CO.,LTD.",6.18,-0.16155089,-0.01,Strong Buy,6051959,37401106.62,3940306421,11.79047619,0.525,1783,Producer Manufacturing
